Name,Title,Department
Jean-Nicolas Reyt,Assistant Professor,Desautels Faculty of Management
Anthony Ricciardi,Full Professor,"Department of Biology, Bieler School of Environment, Redpath Museum"
Marc Richard,"Group Leader, Specialized Cataloguing",McGill Library
Mylene Riva,"Assistant Professor | Canada Research Chair in Housing, Community and Health","Department of Geography, Institute for Health and Social Policy"
Thomas J Rivera,Assistant Professor,Desautels Faculty of Management
Bernard Robaire,James McGill Professor,"Department of Obstetrics and Gynecology, Department of Pharmacology and Therapeutics, McGill Centre for Studies in Aging (MCSA)"
Joseph Rochford,"Associate Professor | Director, Integrated Program in Neuroscience","Department of Psychiatry, Douglas Hospital Research Centre, Graduate and Postdoctoral Studies, McGill Centre for Studies in Aging (MCSA), MNI - Department of Neurology and Neurosurgery"
Marc Rodger,"Harry Webster Thorp Professor of Medicine | Chair, Department of Medicine","Department of Medicine, Research Institute - McGill University Health Centre (RI MUHC)"
Colin Rogers,Full Professor ,Department of Civil Engineering and Applied Mechanics
David Rolnick,Assistant Professor,School of Computer Science
Djordje Romanic,Assistant Professor,Department of Atmospheric and Oceanic Sciences
Jennifer Ronholm,Assistant Professor,"Department of Animal Science, Department of Food Science and Agricultural Chemistry"
David Rosenblatt,Professor,"Department of Biology, Department of Human Genetics"
David Rothwell,,School of Social Work
Nigel Roulet,"James McGill Professor | Chair, Department of Geography","Department of Geography, Bieler School of Environment"
Cecile Rousseau,Professor,"Department of Psychiatry, Division of Social and Transcultural Psychiatry"
Jean-Pierre Routy,Professor | Louis Lowenstein Chair in Hematology and Oncology,"Division of Experimental Medicine, Research Institute - McGill University Health Centre (RI MUHC)"
Christie Rowe,Associate Professor | Canada Research Chair in Earthquake Geology | Wares Faculty Scholar,Department of Earth and Planetary Sciences (EPS)
Andre J Roy,Associate Professor,"Department of Performance (Schulich School of Music), Schulich School of Music"
Mathieu Roy,Assistant Professor,Department of Psychology
Richard Roy,Professor,Department of Biology
Brian Rubineau,Associate Professor,Desautels Faculty of Management
Edward Ruthazer,"Professor | Associate Director, Integrated Program in Neuroscience","Department of Psychology, MNI - Department of Neurology and Neurosurgery"
Derek Ruths,Associate Professor ,School of Computer Science
Robert Rutledge,Associate Professor ,Department of Physics
Aimee Ryan,Assistant Professor,"Department of Medicine, Division of Endocrinology and Metabolism, Division of Experimental Medicine, Research Institute - McGill University Health Centre (RI MUHC)"
Dominic Ryan,Professor,Department of Physics
Norman Sabin,Assistant Professor,Department of Family Medicine
Selena Sagan,Associate Professor | Canada Research Chair in RNA Biology and Viral Infections,"Department of Biochemistry, Department of Microbiology and Immunology"
Tewfik Said,Assistant Professor,Department of Psychiatry
Carolyn Samuel,Senior Academic Associate,"McGill Writing Centre, Teaching and Learning Services (TLS)"
Mela Sarkar,Associate Professor,Department of Integrated Studies in Education (DISE)
Alenoush Saroyan,"Professor and Director, McGill University International Institute of Education (MIIE)",Department of Educational and Counselling Psychology (ECP)
Genevieve Saumier,Full Professor and Peter M. Laing Q.C. Professor of Law,Faculty of Law
Annie Savard,Associate Professor,Department of Integrated Studies in Education (DISE)
Kent Saylor,Assistant Professor,"Department of Pediatrics, Montreal Children's Hospital (MCH)"
Ronald Schondorf,Associate Professor,MNI - Department of Neurology and Neurosurgery
Thomas Schricker,Professor,"Department of Anesthesia, McGill Centre for Studies in Aging (MCSA), School of Dietetics and Human Nutrition"
Erwin Schurr,Professor,"Division of Experimental Medicine, Research Institute - McGill University Health Centre (RI MUHC)"
Joe Schwarcz,"Professor and Director, Office for Science and Society","Department of Chemistry, Faculty of Science, Office for Science and Society (OSS)"
Frieder Schöck,Associate Professor,Department of Biology
Marilyn Scott,Full Professor,"Centre for Host-Parasite Interactions, Institute of Parasitology"
Juan Serpa, Associate Professor | William Dawson Scholar,Desautels Faculty of Management
Jan Seuntjens,James McGill Professor,"Gerald Bronfman Department of Oncology, Department of Physics, McGill Centre for Translational Research in Cancer (MCTRC), Medical Physics Unit, Research Institute - McGill University Health Centre (RI MUHC)"
Jesse Shapiro,Associate Professor,Department of Microbiology and Immunology
Shaheen Shariff,James McGill Professor,"Department of Integrated Studies in Education (DISE), Faculty of Law"
Arvind Sharma,Birks Professor in Comparative Religion,Faculty of Religious Studies
Abhinav Sharma,Assistant Professor,"Department of Medicine, Division of Experimental Medicine, Research Institute - McGill University Health Centre (RI MUHC)"
Steven Shaw,Associate Professor,Department of Educational and Counselling Psychology (ECP)
Richard George Shearmur,"Professor and Director, School of Urban Planning","Faculty of Engineering, School of Urban Planning"
Sam Shemie,Full Professor,"Department of Pediatrics, Montreal Children's Hospital (MCH), Research Institute - McGill University Health Centre (RI MUHC)"
Colleen Sheppard,Full Professor,Faculty of Law
Donald Sheppard,Full Professor ,"Department of Microbiology and Immunology, Division of Experimental Medicine, Research Institute - McGill University Health Centre (RI MUHC)"
Keiko Shikako-Thomas,Associate Professor,School of Physical and Occupational Therapy
Eran Shor,Full Professor,Department of Sociology
Alvin Shrier,Full Professor | Hosmer Chair in Physiology,Department of Physiology
Ian Shrier,Senior Investigator ,"Department of Epidemiology, Biostatistics and Occupational Health, Lady Davis Institute for Medical Research, Sir Mortimer B. Davis Jewish General Hospital"
Mitch Shulman, Associate Professor,Department of Emergency Medicine
Thomas Shultz,Professor,Department of Psychology
Kaleem Siddiqi,Professor,School of Computer Science
Renee Sieber,Associate Professor,"Department of Geography, Bieler School of Environment, School of Computer Science"
Ada L Sinacore,Associate Professor,Department of Educational and Counselling Psychology (ECP)
Jaswinder Singh,Associate Professor ,"Department of Plant Science, Bieler School of Environment"
Avinash Sinha,Assistant Professor,"Department of Anesthesia, McGill University Health Centre (MUHC), Montreal General Hospital"
Hanadi Sleiman,"Professor and Canada Research Chair in DNA Nanoscience, Tier I",Department of Chemistry
Rima Slim,Associate Professor,"Department of Human Genetics, Department of Obstetrics and Gynecology, Division of Experimental Medicine, Research Institute - McGill University Health Centre (RI MUHC)"
Stephen Smith,Full Professor and James McGill Professor,Faculty of Law
Michael R Smith,James McGill Professor,Department of Sociology
Donald L Smith,James McGill Professor,"Department of Plant Science, Bieler School of Environment"
Lionel David Smith,Full Professor Sir William C. Macdonald Professor,Faculty of Law
Richard So,Assistant Professor,Department of English
Sonja Solomun,"Research Director, Centre for Media, Technology and Democracy",Max Bell School of Public Policy
Melissa Sonberg,"Professor of Practice, Organizational Behaviour",Desautels Faculty of Management
Nahum Sonenberg,Professor | Gilman Cheney Chair in Biochemistry,Department of Biochemistry
Fiona Soper,Assistant Professor ,Department of Biology
Wayne Steven Sossin,James McGill Professor,"Department of Anatomy and Cell Biology, Department of Psychology, MNI - Department of Neurology and Neurosurgery"
Rene St-Arnaud,Professor,Faculty of Dentistry
Lisa Starr,Assistant Professor,Department of Integrated Studies in Education (DISE)
Russell Steele,Associate Professor,Department of Mathematics and Statistics
Karsten Steinhauer,Professor,"Neurocognition of Language Lab, School of Communication Sciences and Disorders (SCSD)"
Oren K Steinmetz,Associate Professor,Division of  Vascular Surgery
Marianne Stenbaek,Full Professor,Department of English
Jonathan Sterne,James McGill Professor | James McGill Chair in Culture and Technology,Department of Art History and Communication Studies
Mary Stevenson,Professor,"Department of Microbiology and Immunology, Department of Physiology, Division of Experimental Medicine, Institute of Parasitology"
Stefano Stifani,Professor,"Department of Anatomy and Cell Biology, Department of Biology, MNI - Department of Neurology and Neurosurgery"
John Stix,Professor,Department of Earth and Planetary Sciences (EPS)
Dietlind Stolle,"James McGill Professor | Director, Centre for the Study of Democratic Citizenship",Department of Political Science
Will Straw,Full Professor,"Department of Art History and Communication Studies, McGill Institute for the Study of Canada (MISC)"
Ron Stringer,Associate Professor ,Department of Educational and Counselling Psychology (ECP)
Martina Stromvik,"Associate Professor | Chair, Department of Plant Science",Department of Plant Science
Erin Strumpf,Associate Professor | William Dawson Scholar,"Department of Economics, Department of Epidemiology, Biostatistics and Occupational Health, Institute for Health and Social Policy"
Narendra Subramanian,Professor,Department of Political Science
Samy Suissa,James McGill Professor,"Department of Epidemiology, Biostatistics and Occupational Health"
Michael John L Sullivan,Professor and Canada Research Chair in Behavioural Health (Tier I),"Department of Psychology, MNI - Department of Neurology and Neurosurgery, University Clinic - Royal Victoria Hospital"
Laxmi Sushama,Full Professor | Trottier Chair in Sustainability in Engineering and Design,Department of Civil Engineering and Applied Mechanics
Tamara Sussman,Associate Professor,School of Social Work
Attila Szantner,Adjunct Professor,School of Computer Science
Philippe Séguéla,,MNI - Department of Neurology and Neurosurgery
Maryam Tabrizian,Full Professor | Canada Research Chair in Regenerative Medicine and Nanomedicine,"Department of Biomedical Engineering, Department of Surgery, Division of Experimental Surgery, Faculty of Dentistry"
Vicky Tagalakis,"Associate Professor | Director, Division of General Internal Medicine","Department of Epidemiology, Biostatistics and Occupational Health, Department of Medicine, Division of General Internal Medicine, Lady Davis Institute for Medical Research, Sir Mortimer B. Davis Jewish General Hospital"
Victoria Talwar,Professor,"Department of Educational and Counselling Psychology (ECP), Department of Psychology"
Robyn Tamblyn,Distinguished James McGill Professor,"Department of Epidemiology, Biostatistics and Occupational Health"
Michael Tanzer,Full Professor | Jo Miller Chair of Orthopaedic Research,"Department of Medicine, Department of Surgery, Division of Experimental Medicine, Division of Orthopaedic Surgery, Research Institute - McGill University Health Centre (RI MUHC)"
Raymond Tellier,Associate Professor ,"Department of Medicine, McGill University Health Centre (MUHC)"
Pierre-Paul Tellier,,Department of Family Medicine
Melanie Tetreault-Friend,Assistant Professor,Department of Mechanical Engineering
Marc Tewfik,Associate Professor,"Department of Otolaryngology - Head and Neck Surgery, Research Institute - McGill University Health Centre (RI MUHC)"
Alanna Thain,Associate Professor,Department of English
David Theodore,Associate Professor,School of Architecture
Denis Therien,Professor,School of Computer Science
Christopher Thibodeaux,Assistant Professor,Department of Chemistry
Alexander Thiel,Professor,MNI - Department of Neurology and Neurosurgery
Brett Thombs,Full Professor | Canada Research Chair in Patient-Oriented Disease Management and Preventive Health Care,"Biomedical Ethics Unit, Department of Educational and Counselling Psychology (ECP), Department of Epidemiology, Biostatistics and Occupational Health, Department of Medicine, Department of Psychiatry, Department of Psychology, Lady Davis Institute for Medical Research, Sir Mortimer B. Davis Jewish General Hospital"
Debra Thompson,Associate Professor | Canada Research Chair in Racial Inequality in Democratic Societies,"Department of Political Science, Max Bell School of Public Policy"
Elin Thordardottir,Professor,School of Communication Sciences and Disorders (SCSD)
Guylène Thériault,Faculty Lecturer,"Campus Outaouais, Department of Family Medicine"
Pascal Thériault,"Director, Farm Management and Technology",Farm Management and Technology Program
Evgeny Timofeev,Associate Professor,Department of Mechanical Engineering
Katrin Tinn,Assistant Professor ,Desautels Faculty of Management
Debra Ann Titone,Professor,Department of Psychology
Patricia Tonin,Professor,"Department of Medicine, Research Institute - McGill University Health Centre (RI MUHC), Rosalind and Morris Goodman Cancer Centre (GCC)"
Jacquetta Trasler,Distinguished James McGill Professor,"Department of Human Genetics, Department of Pediatrics, Department of Pharmacology and Therapeutics, Research Institute - McGill University Health Centre (RI MUHC)"
Michel Tremblay,James McGill Professor,"Department of Biochemistry, Rosalind and Morris Goodman Cancer Centre (GCC)"
Bruno Tremblay,Associate Professor,Department of Atmospheric and Oceanic Sciences
Mark Trifiro,Full Professor,"Department of Medicine, Division of Experimental Medicine, Lady Davis Institute for Medical Research, Sir Mortimer B. Davis Jewish General Hospital"
Daria Trojan,Associate Professor,MNI - Department of Neurology and Neurosurgery
Jean-Marc Troquet,Chief Emergency Medicine MUHC at McGill University Health Centre,Department of Medicine
Christos M Tsoukas,Professor,"Department of Microbiology and Immunology, Research Institute - McGill University Health Centre (RI MUHC)"
Nathalie Tufenkji,Full Professor | Canada Research Chair in Biocolloids and Surfaces,"Brace Centre for Water Resources Management, Department of Chemical Engineering, Bieler School of Environment"
Togas Tulandi,Professor ,Department of Obstetrics and Gynecology
Gustavo Turecki,Professor | Canada Research Chair in Major Depressive Disorder and Suicide - Tier 1,"Department of Human Genetics, Department of Psychiatry, Douglas Hospital Research Centre, MNI - Department of Neurology and Neurosurgery"
Jon Unruh,Associate Professor,Department of Geography
Emmanuelle Vaast,Full Professor,Desautels Faculty of Management
Brigitte Vachon,Associate Professor | Gradute Program Director ,Department of Physics
Demetrios Vakratsas,Associate Professor | Bensadoun Faculty Scholar,Desautels Faculty of Management
Jean-Sébastien Vallée,Associate Professor | Director of Choral Studies | Ensembles & Conducting Area Coordinator,Schulich School of Music
Michael Van Dussen,Associate Professor,Department of English
Angela Vanhaelen,Professor,Department of Art History and Communication Studies
Isabelle Vedel,Associate Professor,"Department of Family Medicine, Lady Davis Institute for Medical Research, Sir Mortimer B. Davis Jewish General Hospital"
Martin Veilleux,Assistant Professor,"MNI - Department of Neurology and Neurosurgery, University Clinic - Montreal General Hospital"
Samuel Veissière,Assistant Professor ,"Department of Anthropology, Department of Psychiatry, Division of Social and Transcultural Psychiatry"
Juan H Vera,Emeritus Professor,Department of Chemical Engineering
Clark Verbrugge,Associate Professor,School of Computer Science
Donald Vinh,Associate Professor ,"Department of Human Genetics, Department of Medicine, Department of Microbiology and Immunology, Division of Experimental Medicine, Research Institute - McGill University Health Centre (RI MUHC)"
Jackie Vogel,Associate Professor,"Department of Biology, Rosalind and Morris Goodman Cancer Centre (GCC), School of Computer Science"
David Wachsmuth,Associate Professor | Canada Research Chair in Urban Governance,"Department of Geography, School of Urban Planning"
Kevin Wade,Associate Professor,Department of Animal Science
Michael Wagner,Professor,Department of Linguistics
Caroline Wagner,Assistant Professor,
Jérôme Waldispühl,Associate Professor,School of Computer Science
Claire Walker,Professor,"Department of Anatomy and Cell Biology, Department of Psychiatry, Douglas Hospital Research Centre"
Faith Wallis,Professor,"Department of History and Classical Studies, Department of Social Studies of Medicine"
Marcelo Wanderley,"Professor | Director, Input Devices and Music Interaction Laboratory","Department of Music Research (Schulich School of Music), Schulich School of Music"
Juan Wang,Associate Professor,Department of Political Science
Andreas Warburton,Professor,Department of Physics
Brian Ward,"Professor | Associate Director, JD MacLean Tropical Diseases Centre | Co-Director, MUHC Vaccine Study Centre","Department of Microbiology and Immunology, Institute of Parasitology, University Clinic - Montreal General Hospital"
Ashley Wazana,Associate Professor,"Department of Psychiatry, Division of Social and Transcultural Psychiatry, Lady Davis Institute for Medical Research, Sir Mortimer B. Davis Jewish General Hospital"
David Wees,Faculty Lecturer,Department of Plant Science
Scott Weichenthal,Assistant Professor,"Department of Epidemiology, Biostatistics and Occupational Health"
Anna Weinberg,Associate Professor | Canada Research Chair in Clinical Neuroscience,Department of Psychology
Daniel Weinstock,Full Professor | Katharine A. Pearson Chair in Civil Society and Public Policy,"Faculty of Law, Institute for Health and Social Policy, Max Bell School of Public Policy"
Gregory Weitzner,Assistant Professor ,Desautels Faculty of Management
Jennifer Welsh,Professor | Canada 150 Research Chair in Global Governance and Security | Director of the Centre for International Peace and Security Studies,Department of Political Science
Tamara Western,Associate Professor,"Department of Biology, Faculty of Science"
Chantal Westgate,Senior Faculty Lecturer,Desautels Faculty of Management
Joann Whalen,James McGill Professor,"Department of Natural Resource Sciences, Bieler School of Environment"
John H White,Professor | Chair,"Department of Physiology, Division of Endocrinology and Metabolism"
Anwar White,Faculty Lecturer,Desautels Faculty of Management
Lloyd Whitesell,Professor,Department of Music Research (Schulich School of Music)
Robert Whitley,Associate Professor,"Department of Psychiatry, Division of Social and Transcultural Psychiatry, Douglas Research Centre"
Gary Edward Wild,Professor,University Clinic - Montreal General Hospital
Sylvain Williams,Professor,"Department of Psychiatry, McGill Centre for Studies in Aging (MCSA), MNI - Department of Neurology and Neurosurgery"
Anthony E Williams-Jones,Professor | Logan Chair,Department of Earth and Planetary Sciences (EPS)
Simon Sipen Wing,Professor,"Department of Medicine, Division of Endocrinology and Metabolism"
Michael Wiseman,,"Faculty of Dentistry, McGill Centre for Studies in Aging (MCSA)"
Robert Wisnovsky,James McGill Professor,Institute of Islamic Studies
David B Wolfson,Professor,Department of Mathematics and Statistics
Sarah Woolley,Associate Professor,Department of Biology
John C S Wootton,,Department of Family Medicine
Wieslaw Woszczyk,James McGill Professor,Department of Music Research (Schulich School of Music)
Paul Yachnin,"Tomlinson Professor of Shakespeare Studies | Director, TRaCE McGill Project","Department of English, Institute for the Public Life of Arts and Ideas (IPLAI)"
Mark Yaffe,Professor ,Department of Family Medicine
Jean-Francois Yale,Professor,Department of Medicine
Viviane Yargeau,"Full Professor | Chair, Department of Chemical Engineering","Department of Chemical Engineering, Bieler School of Environment"
M.K. (Peter) Yau,Professor,Department of Atmospheric and Oceanic Sciences
Varoujan Yaylayan,"Full Professor | Chair, Department of Food Science and Agricultural Chemistry",Department of Food Science and Agricultural Chemistry
Stephen Yue,Distinguished James McGill Professor | Lorne Trottier Chair in Aerospace Engineering,Department of Mining and Materials Engineering
Glenn Zabowski,Faculty Lecturer | Associate Dean of Students,"Desautels Faculty of Management, Student Services"
Ma’n H. Zawati,Assistant Professor,Department of Medicine
Natalie Zeytuni,Assistant Professor,Department of Anatomy and Cell Biology
Xin Zhao,Distinguished James McGill Professor,Department of Animal Science
Victoria Zinde-Walsh,Professor,Department of Economics
Edith Zorychta,Associate Professor,Department of Pharmacology and Therapeutics
